artists,duration_ms,explicit,id,key,modified_query,name,num_weeks,popularity,release_date,search_query,uri
,215724.0,False,,Backstreet Boys,,Don't Go Breaking My Heart,2,,2018-05-17,backstreet boys don't go breaking my heart,spotify:track:79Mjfhh393dZdAsTvUFDR6
,254805.0,False,,Bad Wolves,,Zombie,17,,2018-01-19,bad wolves zombie,spotify:track:1vNoA9F5ASnlBISFekDmg3
,131064.0,True,,Bazzi,,Mine,24,,2018-04-12,bazzi mine,spotify:track:7uzmGiiJyRfuViKKK3lVmR
,191786.0,False,,Bebe Rexha,,I Got You,7,,2018-06-22,bebe rexha i got you,spotify:track:2jB9QaPJyVdz2Q0Va8rrnU
,163870.0,False,,"Bebe Rexha, Florida Georgia Line",,Meant to Be (feat. Florida Georgia Line),36,,2017-08-11,bebe rexha meant to be,spotify:track:7iDa6hUg2VgEL1o1HjmfBn
,202453.0,False,,"Becky G, Bad Bunny",,Mayores,17,,2017-07-14,becky g mayores,spotify:track:7JNh1cfm0eXjqFVOzKLyau
,151850.0,True,,"Bhad Bhabie, Lil Yachty",,Gucci Flip Flops (feat. Lil Yachty),3,,2018-09-18,bhad bhabie gucci flip flops,spotify:track:3hv6ndi7uFT9L9wrhQCsqY
,104528.0,True,,Bhad Bhabie,,Hi Bich,1,,2017-09-21,bhad bhabie hi bich,spotify:track:5JW8njiQorZ7m2VHYddTt6
,140007.0,True,,Bhad Bhabie,,These Heaux,3,,2017-08-24,bhad bhabie these heaux,spotify:track:6SUxrwVN19Kmd9JfIbjJUj
,222360.0,True,,Big Sean,,Bounce Back,16,,2017-02-03,big sean bounce back,spotify:track:0SGkqnVQo9KPytSri1H6cF
,268946.0,True,,"Big Sean, Metro Boomin, Travis Scott",,Go Legend (& Metro Boomin),1,,2017-12-08,big sean go legend,spotify:track:3wAI7MIQtTgwcRmwchPZBc
,230960.0,True,,Big Sean,,Halfway Off The Balcony,1,,2017-02-03,big sean halfway off the balcony,spotify:track:4atJ40xfasjdM9ZF3p07BV
,213693.0,True,,Big Sean,,Jump Out The Window,1,,2017-02-03,big sean jump out the window,spotify:track:1jQsKN68yE94tMYml0wHMd
,210506.0,True,,"Big Sean, Jeremih",,Light,1,,2017-02-03,big sean light,spotify:track:0URaKGzNTtzKRtsJN1RkA9
,142906.0,True,,Big Sean,,Moves,14,,2017-02-03,big sean moves,spotify:track:0Fv5N0cHBsl4bzCbollCAS
,325840.0,True,,"Big Sean, Eminem",,No Favors,3,,2017-02-03,big sean no favors,spotify:track:1MksGqIztTT6M9R1ErKVs8
,271693.0,True,,Big Sean,,Owe Me,1,,2017-02-03,big sean owe me,spotify:track:1u0MOgWF1bbylVxpJG2ZjB
,227533.0,True,,"Big Sean, Metro Boomin, 21 Savage",,Pull Up N Wreck (& Metro Boomin),2,,2017-12-08,big sean pull up n wreck,spotify:track:7DuvVy7JfFgXwWlVzyyPys
,287320.0,True,,"Big Sean, Migos",,Sacrifices,1,,2017-02-03,big sean sacrifices,spotify:track:1r0faljjM2b876iNoaDUh5
,200185.0,False,,"Billie Eilish, Khalid",,lovely (with Khalid),5,,2018-04-19,billie eilish lovely,spotify:track:0u2P5u6lvoDfwTYjAADbn4
,234306.0,False,,Billy Currington,,Do I Make You Wanna,19,,2015-06-02,billy currington do i make you wanna,spotify:track:3I7krC8kr0gFR7P6vInR1I
,160037.0,True,,Blac Youngsta,,Booty,5,,2018-02-27,blac youngsta booty,spotify:track:0FbSpY8RPxTRxi1Fpj9Dz9
,212027.0,True,,blackbear,,do re mi,25,,2017-04-21,blackbear do re mi,spotify:track:3Q3myFA7q4Op95DOpHplaY
,189466.0,False,,Blake Shelton,,A Guy With a Girl,6,,2016-05-20,blake shelton a guy with a girl,spotify:track:5sjIhQzNljMVrDklI91ezp
