Artist,Song,num_weeks
Keala Settle,This Is Me,14
Keith Urban,Blue Ain't Your Color,1
Keith Urban,Coming Home,2
Keith Urban,Female,6
Keith Urban,The Fighter,22
Kelly Clarkson,Love So Soft,13
Kelsea Ballerini,Legends,11
Kelsea Ballerini,Yeah Boy,13
Kendrick Lamar,All The Stars,21
Kendrick Lamar,Big Shot,2
Kendrick Lamar,Black Panther,1
Kendrick Lamar,Blood.,1
Kendrick Lamar,DNA.,20
Kendrick Lamar,Duckworth.,1
Kendrick Lamar,Element.,11
Kendrick Lamar,Fear.,2
Kendrick Lamar,Feel.,2
Kendrick Lamar,God.,2
Kendrick Lamar,Humble.,37
Kendrick Lamar,Love.,39
Kendrick Lamar,Loyalty.,26
Kendrick Lamar,Lust.,2
Kendrick Lamar,Pride.,2
Kendrick Lamar,The Heart Part 4,2
Kendrick Lamar,XXX.,3
Kendrick Lamar,Yah.,3
Kenny Chesney,All The Pretty Girls,14
Kenny Chesney,Bar At The End Of The World,1
Kenny Chesney,Get Along,13
Kesha,Learn To Let Go,1
Kesha,Praying,21
Kesha,Woman,1
Kevin Gates,Change Lanes,1
Kevin Gates,Let It Sing,1
Khalid,Location,40
Khalid,Love Lies,20
Khalid,The Ways,3
Khalid,Young Dumb & Broke,35
"Khalid, Ty Dolla $ign",OTW,10
Kip Moore,More Girls Like You,12
Kodak Black,Codeine Dreaming,13
Kodak Black,Conscience,1
Kodak Black,Everything 1K,1
Kodak Black,First Day Out,1
Kodak Black,Patty Cake,3
Kodak Black,Roll In Peace,25
Kodak Black,Transportin',16
Kodak Black,Tunnel Vision,20
Kris Wu,Like That,1
Kygo,Born To Be Yours,2
Kygo,First Time,1
Kygo x Selena Gomez,It Ain't Me,29
LANCO,Greatest Love Story,20
Lady Antebellum,You Look Good,20
Lady Gaga,Bad Romance,1
Lady Gaga,Million Reasons,9
Lady Gaga,The Cure,14
Lana Del Rey,Love,2
Lana Del Rey,Lust For Life,1
Lauren Alaina,Road Less Traveled,11
Lauren Duski,Deja Vu,1
Lauren Duski,Ghost In This House,1
Lauren Duski,The Dance,1
Lauv,I Like Me Better,21
Lee Brice,Boy,1
Liam Payne,Bedroom Floor,1
Liam Payne,For You (Fifty Shades Freed),3
Liam Payne,Strip That Down,28
Lil Baby,Life Goes On,6
Lil Baby,My Dawg,6
Lil Baby,Southside,1
Lil Baby,Yes Indeed,8
Lil Dicky,Freaky Friday,16
Lil Peep,Awful Things,1
Lil Pump,Esskeetit,12
Lil Pump,Gucci Gang,23
Lil Skies,I Know You,3
Lil Skies,Lust,4
Lil Skies,Nowadays,13
Lil Skies,Red Roses,20
Lil Uzi Vert,444+222,3
Lil Uzi Vert,Dark Queen,2
Lil Uzi Vert,For Real,1
Lil Uzi Vert,Neon Guts,2
Lil Uzi Vert,No Sleep Leak,1
Lil Uzi Vert,Sauce It Up,15
Lil Uzi Vert,The Way Life Goes,22
Lil Uzi Vert,Two,1
Lil Uzi Vert,UnFazed,1
Lil Uzi Vert,X,2
Lil Uzi Vert,XO TOUR Llif3,34
Lil Xan,Betrayed,19
Lil Yachty,66,1
Lil Yachty,Boom!,1
Lil Yachty,NBAYoungboat,4
Lil Yachty,Peek A Boo,4
Lin-Manuel Miranda,Almost Like Praying,1
Lin-Manuel Miranda,Found / Tonight,1
Linkin Park,Heavy,19
Linkin Park,In The End,1
Linkin Park,Numb,1
Little Big Town,Better Man,7
Logic,1-800-273-8255,41
Logic,44 More,5
Logic,Black SpiderMan,1
Logic,BoomTrap Protocol,1
Logic,Contra,1
Logic,Everybody,2
Logic,Everyday,13
Logic,Indica Badu,1
Logic,Midnight,1
Logic,Overnight,1
Logic,Warm It Up,1
Logic,Wassup,1
Logic,Yuck,1
Lord Huron,The Night We Met,4
Lorde,Green Light,9
Lorde,Homemade Dynamite,1
Lorde,Liability,1
Loren Allred,Never Enough,4
Louis Tomlinson,Back To You,10
Luis Fonsi,Despacito,49
Luis Fonsi,Echame La Culpa,19
Luke Bryan,Fast,12
Luke Bryan,Light It Up,18
Luke Bryan,Most People Are Good,18
Luke Bryan,"Sunrise, Sunburn, Sunset",1
Luke Combs,Beautiful Crazy,4
Luke Combs,Hurricane,22
Luke Combs,Must've Never Met You,1
Luke Combs,One Number Away,16
Luke Combs,When It Rains It Pours,20
MAX,Lights Down Low,27
Machine Gun Kelly,At My Best,8
Machine Gun Kelly x Camila Cabello,Bad Things,10
"Machine Gun Kelly, X Ambassadors",Home,4
Macklemore,Glorious,19
Macklemore,Good Old Days,19
Major Lazer,Know No Better,3
Major Lazer,Run Up,1
Maluma,Felices Los 4,20
Maluma X Nego do Borel,Corazon,9
Maren Morris,80s Mercedes,2
Maren Morris,Dear Hate,1
Maren Morris,I Could Use A Love Song,20
Mariah Carey,All I Want For Christmas Is You,4
Mariah Carey,I Don't,1
Marian Hill,Down,15
Maroon 5,Cold,20
Maroon 5,Don't Wanna Know,11
Maroon 5,Girls Like You,6
Maroon 5,Wait,24
Maroon 5,What Lovers Do,21
Marshmello,Alone,1
Marshmello,Friends,21
Marshmello,Silence,22
Martin Garrix,Ocean,1
Martin Garrix,Scared To Be Lonely,14
Martin Garrix x Troye Sivan,There For You,1
Mason Ramsey,Famous,2
Meek Mill,1942 Flows,1
Meek Mill,F**k That Check Up,1
Meek Mill,Heavy Heart,1
Meek Mill,Issues,1
Meek Mill,We Ball,1
Meek Mill,Whatever You Need,13
Meek Mill,Wins & Losses,1
Meghan Trainor,No Excuses,12
Metro Boomin,No Complaints,5
Michael Ray,Think A Little Less,11
Midland,Drinkin' Problem,20
Migos,Auto Pilot,1
Migos,BBO (Bad Bitches Only),2
Migos,Bad And Boujee,25
Migos,CC,1
Migos,Call Casting,1
Migos,Culture,1
Migos,Danger,1
Migos,Emoji A Chain,1
Migos,Gang Gang,1
Migos,Get Right Witcha,1
Migos,Higher We Go (Intro),1
Migos,Kelly Price,2
Migos,Narcos,9
Migos,Notice Me,5
Migos,Slippery,21
Migos,Stir Fry,20
Migos,Supastars,1
Migos,T-Shirt,23
Migos,Walk It Talk It,22
Migos,White Sand,1
"Migos, Nicki Minaj",MotorSport,21
Miguel,Sky Walker,25
Miley Cyrus,Malibu,15
Miley Cyrus,Younger Now,1
Miranda Lambert,Tin Man,1
Missy Elliott,I'm Better,1
Morgan Evans,Kiss Somebody,1
Morgan Wallen,Up Down,15
N*E*R*D,Lemon,21
NAV,Champion,1
NAV,Wanted You,7
NF,Let You Down,27
NF,No Name,1
Nas,Cop Shot The Kid,1
Nat King Cole,The Christmas Song (Merry Christmas To You),3
Natti Natasha x Ozuna,Criminal,3
Niall Horan,Slow Hands,31
Niall Horan,This Town,4
Niall Horan,Too Much To Ask,11
Nick Jonas,Bom Bidi Bom,1
Nicki Minaj,Barbie Tingz,4
Nicki Minaj,Bed,3
Nicki Minaj,Changed It,1
Nicki Minaj,Chun-Li,13
Nicki Minaj,Regret In Your Tears,1
Nicki Minaj,Rich Sex,1
"Nicki Minaj, Drake",No Frauds,7
Nicky Jam,El Amante,15
Nicky Jam x J Balvin,X,18
Noah Cyrus,Make Me (Cry),8
Offset,Nightmare,1
Offset,Ric Flair Drip,30
Old Dominion,Hotel Key,1
Old Dominion,No Such Thing As A Broken Heart,19
Old Dominion,Written In The Sand,19
Ozuna,El Farsante,20
Ozuna x Cardi B,La Modelo,13
P!nk,Beautiful Trauma,15
P!nk,What About Us,21
PARTYNEXTDOOR,Not Nice,5
Panic! At The Disco,High Hopes,2
Panic! At The Disco,Say Amen (Saturday Night),3
Paramore,Hard Times,1
Pharrell Williams x Camila Cabello,Sangria Wine,1
Playboi Carti,Magnolia,20
Playboi Carti,Shoota,4
Playboi Carti,Wokeuplikethis*,10
Plies,Real Hitta,1
Plies,Rock,5
PnB Rock,Selfish,7
Portugal. The Man,Feel It Still,44
Post Malone,92 Explorer,3
Post Malone,Ball For Me,10
Post Malone,Better Now,10
Post Malone,Blame It On Me,2
Post Malone,Candy Paint,20
Post Malone,Congratulations,45
Post Malone,Go Flex,10
Post Malone,I Fall Apart,29
Post Malone,Jonestown (Interlude),1
Post Malone,Otherside,2
Post Malone,Over Now,3
Post Malone,Paranoid,6
Post Malone,Psycho,19
Post Malone,Rich & Sad,6
Post Malone,Rockstar,40
Post Malone,Same Bitches,3
Post Malone,Spoil My Night,5
Post Malone,Stay,4
Post Malone,Sugar Wraith,1
Post Malone,Takin' Shots,3
Post Malone,Zack And Codeine,3
Pusha T,If You Know You Know,1
Pusha T,Infrared,1
Pusha T,The Games We Play,1
Pusha T,What Would Meek Do?,1
Quavo,Ice Tray,5
"Quavo, Takeoff",Too Hotty,4
Queen Naija,Karma,1
